,conv_id,context,prompt,speaker_utterance,listener_utterance,empathy,pred,empathy_red
41,hit:6201_conv:12403,angry,I had to renew my driving license. After 3 months_comma_ they told me that they lost my paperwork.,I had to renew my driving license. After 3 months_comma_ they told me that they lost my paperwork.,Wow. The MVA is just so frustrating to deal with sometimes.,3,3,3
47,hit:1106_conv:2213,sentimental,I get sentimental when I see children and parents show affection with each other.,It is. I love to see young kids showing love.,ah you are a softy for the kids I see.,2,2,3
50,hit:8091_conv:16182,afraid,there was a time that I came home and my lights were on in the house and my door was unlocked and it had me really scared_comma_ I had my cell phone ready to dial 911 but noone was in my home and I never did figure it out,no and that was the weird thing nothing was taken,Had they gone through anything?,1,1,1
51,hit:9328_conv:18657,sentimental,box of baby stuff i keep,i have a box of baby stuff from my twins that i have kept since they have been babies. they are 25 now,thats very cute to do that,1,1,1
55,hit:11480_conv:22961,anxious,waiting on a call,not sure when he shakes his leg it hurts,I see. He should probably get that checked out by a doctor. It is best to check out these things I think.,3,3,3
60,hit:4445_conv:8891,angry,I am not happy that I will not be able to attend the Kentucky Derby this year.,I have to work this year. I could not get the time off.,that really suckks,1,1,1
64,hit:675_conv:1350,content,I think I've been in my hometown so long_comma_ I wouldn't dream of moving anywhere else. It's just home to me now.,some people like to move away when they are older. I think I am fine where I am.,I agree_comma_ it is better to live in your own surroundings and have your own independence.,3,3,3
66,hit:10453_conv:20906,nostalgic,Back to school time always brings back so many memories of when my kids were going to school. I would cry every year on the first day of school_comma_ especially if it was a milestone year.,Every year when the kids go back to school_comma_ it brings back so many memories of when my kids were going to school.,I know what you mean.  I love to see all the pictures_comma_ and think back to how little mine used to be.,3,3,3
68,hit:8029_conv:16059,excited,I'm getting a new phone soon. I've wanted one for ages and I'm looking forward to it.,Oneplus 6 hopefully!,Dang! Now that is a savvy phone! I have 12 of them.,1,1,1
70,hit:7771_conv:15542,terrified,With the amount of disagreements between two major parties in our country_comma_ i am very concerned of our country's future,Seeing the number of disagreements only to increase between two major parties in our country_comma_ i am afraid of our future political discourse,Yeah its very nervwrecking. Im anxious as well to know how it turns out. ,3,3,3
71,hit:580_conv:1160,hopeful,I was a espectant of receiving gifts for my birthday b,Nooo_comma_ I am not pregnant_comma_ was just expecting my birthday gifts,oh nice well happy birthday,2,2,3
72,hit:8377_conv:16755,excited,I am looking forward to next month. I am excited about the nfl,4,That is how many cups of coffee I had this morning! Did you have coffee too?,3,3,3
73,hit:10199_conv:20399,faithful,I was once propositioned to go on a date by a man that knew I was married.  I was not interested in cheating on my husband_comma_ and I told him so.,Or boost his ego? Either way_comma_ he did not succeed.,Good! I do not know why people think they can get away with things like that.,3,3,3
75,hit:6018_conv:12036,jealous,A coworker got a promotion at work that I really wanted. I'm trying really hard not to let my envy show.,Yeah. I am trying not to be jealous_comma_ but it is not working. I really wanted that job.,It is normal to be jealous. It is a product of goals not fulfilled.,3,3,3
76,hit:229_conv:458,anticipating,I'm predicting a very warm summer this year.,No I hate you cannot do anything outside and are trapped indoor its not nice. The only thing that I do is swim in my pool and cool off.,I know what you mean. It is like you have to dress for both the outside *and* the inside. That is great you have a pool in which to escape_comma_ though!,3,3,3
77,hit:8707_conv:17414,surprised,I walked outside this morning and witnessed a six car pile up!,I walked out the door this morning and saw a six-car pile up!,What a way to wake up! That is awful_comma_ what happened?,3,3,3
78,hit:9657_conv:19315,hopeful,When i applied for several higher paying jobs_comma_ i really wanted to land an interview for one.,I actually recently applied for a few jobs myself_comma_ Crossing my fingers for something better than my current one.,Well I hope that you find something. Any particular reason that you are job hunting?,3,3,3
83,hit:9398_conv:18797,apprehensive,apprehensive: travelling to dubai ,I am a little worried about travelling to dubai,Why are you worried?,2,2,3
84,hit:11212_conv:22425,annoyed,I was babysitting for my daughter. She didn't come pick up the kids until 1 in the morning.,I did and she really did not have any good excuse. Just being inconsiderate.,Well_comma_ that is frustrating. Hopefully next time she will think more about how her actions affect you.,3,3,3
85,hit:735_conv:1470,nostalgic,Today I've been listening to all my favorite songs from when I was in my early twenties.,I cannot get enough of music today. Especially all my songs/bands from when I was in my twenties.,Music always seems to be better from the past_comma_ I understand all too well.,3,3,3
87,hit:2840_conv:5681,angry,I was on an airplane last week_comma_ and someone's baby would not stop crying. I know it isn't right to be upset about such things_comma_ but it really bothered me.,I was on an airplane last week_comma_ and someone is baby would not stop crying. I know it is not right to be upset about such things_comma_ but it really bothered me.,Dont worry_comma_ anyone would have felt the same way. If it makes you feel better remember that we were all babies once.,3,3,3
92,hit:4702_conv:9405,furious,My daughter ate all of my strawberry shortcake ice cream bars. I cant believe her,She ate all of my favorite ice cream bars. ITs petty but thats my comfort food,My kids eat all my snacks too. Parent struggles are real.,1,1,1
98,hit:1618_conv:3236,surprised,I can't believe I won 50 bucks on the lottery ticket I just bought. Did not expect it.,I was thinking about upgrading the graphics card on my computer,That is a good idea. It is extra money so do what you want!,3,3,3
99,hit:10157_conv:20315,ashamed,I was embarrased when my shoe peeled off on the way,I had to walk bare footed to a point,A point of what? Like_comma_ of land?,1,1,1
101,hit:5654_conv:11308,furious,i was pissed when my moviepass card didnt work,i was pissed when my moviepass card didnt work,i would feel the exact same way _comma_ how come it did not work ?,3,3,3
102,hit:3871_conv:7742,joyful,My mom is finally coming to America after years of waiting for approval.,Thank you. I really miss her and hope I can take care of her better now.,You definitly will. Families are stronger together than apart. ,3,3,3
105,hit:1632_conv:3264,lonely,I posted a party on social media this morning. Not single soul showed up and I am alone...again,I did not invite anyone in particular but it was a message to everyone on my followers list.,Where was the party?,1,1,1
107,hit:6862_conv:13724,caring, love my neices and nephews like they are my own children. I do the same for all of them,All the time. I treat them the same as my own kids. They are the best,That is really good that you get to see them all the time.  Do you have kids_comma_ too?,3,3,3
109,hit:6013_conv:12027,anticipating,I have been through a lot in my life_comma_ but I am anticipating that God will bless me.,Thank you for that encouragement. I am trying to be as patient as I can be during these hard times.,like some one once said_comma_ time heals everything just have a positive attitude,3,3,3
111,hit:11863_conv:23726,embarrassed,First day of school started out pretty good but then got sort of tough for me. I had a bad class in particular.,I was given a lecture to my morning class and when the class was over a student came up to me to tell me my pants were unzipped.,oh damn_comma_ that is an embarrassing one_comma_ tired morning? it is fine these things happend,3,3,3
115,hit:3252_conv:6505,surprised,I woke up one morning and found a puppy in my bed. I wasn't expecting that!,I woke up one morning and found a puppy in my bed. I was not expecting that!,Whoa! Was that a good surprise_comma_ or a bad surprise? I could see that going either way_comma_ but at least it would be exciting! I had that happen when I got one for Christmas. Well_comma_ actually it was in my parent's bed_comma_ and I barged into their room to ask if we could go downstairs and open presents_comma_ and I saw the one they had gotten me and had been hiding to surprise me with.,3,3,3
116,hit:1583_conv:3167,proud,I did well on my LSAT and now I hope to start law school.  I will be starting in January if accepted.,Thank you! I hope to get into Syracuse.,Law is a pretty tough career. You must have worked hard_comma_ and I am sure that will pay off.,3,3,3
118,hit:1908_conv:3817,jealous,My parents always spoil my brother. He gets the coolest things for his birthday and I just get cards. They like him better.,My brother is so spoiled! My parents get him the coolest birthday presents!,My brother did too! He is the oldest so he got all the good stuff :(,3,3,3
119,hit:5617_conv:11235,prepared,I am getting transferred out of the country for my job.  I sold my house and all my furniture and am ready to go start a new life.,I will miss my family but I am kind of ready for something new and exciting. I am a list maker and always ready so this is out of my comfort zone.,Best of luck to you_comma_ I hope everything works out great in the end!,3,3,3
120,hit:9558_conv:19117,disgusted,I hate when i wash dishes and touch food,i hate when i do dishes and touch food that was on the plate1! so gross. makes me wanna throw up,Really? It does not bother me at all. I wonder why you feel that way?,1,1,1
122,hit:4614_conv:9229,proud,After pushing my little brother through out the years in school he graduated with a 3.2 this May!,It was hard for my brother through out school,Why is that,1,1,1
123,hit:6769_conv:13538,prepared,It's always best to be prepared before a big trip.,I always try to be prepared before a big trip.,That is smart. You do not want to forget anything. Are you planning a trip soon?,3,3,3
125,hit:6114_conv:12228,proud,I qualified to shoot on the 1000yard range today.,I qualified to shoot on the 1000yard range today,Oh wow_comma_ that is impressive indeed,3,3,3
127,hit:2279_conv:4558,confident,I applied for a job as manager at the store I was working at. When I interviewed they really liked my answers.,Yeah they offered me the job. I was very excited.,Thatâ��s great!  How do you like it?,3,3,3
128,hit:1140_conv:2280,impressed,I was watching a YouTube video yesterday of some Asian guy chopping down a full grown banana tree with just Muay Thai kicks...it was pretty awesome,I saw a video of an Asian guy chopping down a banana tree with leg kicks..it was pretty insane,That is really weird_comma_ did he actually knock the tree down and how thick was the tree?,3,3,3
129,hit:731_conv:1462,caring,When she fell down the steps I blamed myself for not being close enough to catch her. I cared for her for months after that until she was better.,I blamed myself for her fall because I was not close enough to prevent it. I took care of her for months afterwards.,Things happen that are bad_comma_ I am sure it wasnt your fault.,3,3,3
130,hit:2685_conv:5370,jealous,she sat with them instead of me in champagne room,I wish I had money. Then she would sit with me instead of him,Sit where?,1,1,1
131,hit:200_conv:401,lonely,On my birthday_comma_ no one showed up to the celebration. I had dinner by myself in my apartment.,Well_comma_ I like to think of it as an excuse to meet friends and family. Too bad I was away from family that day!,Maybe next year will be better! ,2,2,3
136,hit:10788_conv:21576,terrified,The most awful time of my life was when my wife went to jail for a month. I'm glad it's all over.,Some old stuff from 2 years before but court was appointed this late!,I am glad you all were able to make it through such a hard time.,3,3,3
137,hit:5079_conv:10158,excited,i cant wait for this weekend!,i cant wait for this weekend!,What is happening this weekend?,1,1,1
139,hit:11426_conv:22853,disgusted,I found a dead racoon in my shed. I must have been there for a few weeks,I went into my shed to clean it and i found a dead raccoon,Oh gosh. That is awful... sorry you had to experience that. What did you do after finding it?,3,3,3
141,hit:1562_conv:3125,surprised,I went to register my daughter for school today and the place was empty!,It maybe would have been if anyone was at the school. I really do not want her to go there but the private school had too long of a waiting list for this year.,They school was locked up? I cannot imagine. My first born is due in December and i am all ready stressed about school.,3,3,3
142,hit:3233_conv:6467,caring,I love my kids so much. I want them to live with me forever,Two girls and one boy.  I want them to live with me forever. Their kids too lol,Haha_comma_ that is incredible. A lot of parents would not feel that way... After 18_comma_ they are done. That is pretty cool of you to feel that way_comma_ but I guess that speaks volumes about the kind of kids you have and how good they are. It sounds like you raised them right.,3,3,3
144,hit:6763_conv:13527,anxious,I am on a new diet for my Lupus and it is critical that this work b/c the next steps to take care of my Lupus are very powerful drugs that I don't want to take,yes_comma_ but they are quite powerful which I am trying to avoid. I am already on one and I am hoping that through this diet I can get off b/c the next steps will not be fun,Oh_comma_ I am really sorry. That is for sure a challenge.,3,3,3
145,hit:1633_conv:3266,terrified,I'm gonna watch the new episode of Stephen Kings show tonight with the lights on,Stephen Kings new show is so scary.,I have not seen it yet_comma_ tell me abnout it,1,1,1
147,hit:5827_conv:11655,excited,i cant wait for friday!!,gonna get chocolate wasted!,Awww man!  You are lucky!  That sounds amazing!,3,3,3
148,hit:12109_conv:24219,nostalgic,I found an old box of toys from my childhood in the attic. Talk about blast from the past! Such good memories!,A bunch of star wars toys and some legos as well!,THe nostalgia must have been so good!,3,3,3
149,hit:7415_conv:14830,caring,My husband woke up with a terrible toothache and his face swollen yesterday. I was his nurse all day_comma_ giving meds and anything else he needed.,My husband woke up with his face swollen and a terrible toothache,That is horrible. Did he get to go to the dentist yet?,3,3,3
150,hit:8281_conv:16562,excited,I was much surprised to receive a hike in my salary.,I received a hike in my salary.,Fantastic_comma_ was it a lot ?,1,1,1
151,hit:5191_conv:10382,caring,Collecting toys for needy kids,On my own_comma_ I find it is easier to be in control.,That makes sense.  Well_comma_ you are doing a lot of good.,3,3,3
153,hit:2692_conv:5384,angry,I just got a new car. I parked it in front of my house. Right away some neighborhood teens came around and keyed it. Now I have to get it fixed.,I bought a brand new car the other day. I parked it in front of my house. Then some neighborhood punks came by and keyed it the first day!,That is so aggravating! I am sorry to hear this happened to you!,3,3,3
154,hit:3108_conv:6216,disgusted,I ordered McDonalds today on UberEats. It was terrible.,Well it was a delivery do we would have had to wait another hour. I did complain though,That is good! Hopefully you will be compensated in some way for the fries. Ugh_comma_ cold fries! You are way nicer about it than I would have been.,3,3,3
156,hit:8583_conv:17166,sad,I'm pretty bummed I didn't get to see my sister when she was in town.  I don't get to see her often.,I was really busy with work and she was only in town for a couple of dayS,aw no. Maybe you should tell her that_comma_ so next time she will come when you have time?,3,3,3
158,hit:3902_conv:7804,lonely,I moved away from my family and friends to start a new job next week. I'm looking forward to it but its so isolating not knowing a single person.,Yes_comma_ I went to a local coffee shop where they were showing a band and tried to mingle but people were very closed off. I know it takes time so I guess I will have to be happy with just me myself and I. ha ha. I have not started it yet so I hope so!,Yes i understand its rough_comma_ some people just take time to warm up. But im willing to bet you will meet someone really cool soon enough.,3,3,3
161,hit:5201_conv:10402,anxious,Going to the store today was a bit hard. I do not like big stores or being around people sometimes but I have too.,Going to the store today was a bit hard.,It was? What made it hard specifically? Hopefully nothing too bad happened.,1,1,1
164,hit:2543_conv:5086,sad,Had to attend a funeral,It is okay. funerals are always a sad time but we all get through it,That is a very nice way to think of it.,3,3,3
165,hit:7126_conv:14253,apprehensive,I am nervous about an interview I have this week,I have an interview next week and I am nervous about it,I am sure you are going to nail it! What is the job?,3,3,3
166,hit:10799_conv:21598,terrified,I had always homeschooled my kids but we decieded to finally try the local public schools since they are ranked best in the state.,I have always homeschooled my kids.,That is really interesting. Do you think it benefits them learning from you rather than qualified teachers?,3,3,3
168,hit:6246_conv:12492,afraid,I am a bit scared for the weekend to come. I don't know what will happen between me and another person and I hate the unknown.,I do not know what will happen between me and another person and I hate the unknown.,I hope it turns out ok.,1,1,1
169,hit:5823_conv:11646,confident,I have been taking speech therapy classes.,I have been taking speech therapy classes to improve my stuttering problem!,That is great_comma_ good for you for taking charge of the situation,3,3,3
170,hit:6961_conv:13923,hopeful,We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.,We are really wanting to buy a new house. We are hoping it will happen in the next year.,good luck! need something bigger?,3,3,3
172,hit:82_conv:165,nostalgic,Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,I visited my old home town recently and it has gone down hill so much.  A lot of the houses are run down and dilapidated. So sad.,That sucks..... always bad to see something like that. Did you atleast enjoy your trip? ,3,3,3
175,hit:310_conv:621,confident,I went in for a third interview at a company considering me. The owner was in attendance_comma_ and I could see he was impressed with my portfolio. They told me they still were looking at two other candidates_comma_ but I bet I'll get an offer tonight or tomorrow.,I know I should not count my chicks before they hatch_comma_ but I am feeling pretty good after that interview today!,Oh what job was the interview for?,1,1,1
178,hit:8605_conv:17210,afraid,I get scared walking around my neighborhood. I dont unless I really have to,I dont live in a nice neighborhood. It wasnt like this when I moved here,Did it get worse or better?,2,2,3
183,hit:11325_conv:22651,caring,i do love my pet doggy_comma_ she is a treat to have,i do love my pet doggy_comma_ she is a treat to have,That is so sweet. What is her name?,3,3,3
185,hit:4306_conv:8613,anxious,Big day for me tomorrow.  I start a new job.,I cannot seem to get to sleep tonight_comma_ too much on my mind.,Oh no. Have you been stressed about anything?,2,2,3
186,hit:1885_conv:3771,apprehensive,I was hoping to move across the country_comma_ but I'm nervous.,Ohh! Did you change your mind? I am trying to convince myself that it is going to be better for me to make the move.,I put it on hold until I fly up there this year to check things out. It is quite a big decision_comma_ and I would recommend going there for a while just to see what it is like,3,3,3
188,hit:4484_conv:8968,devastated,I was so heartbroken when my dog passed away last month.. She was my childhood dog,i was so heartbroken when my dog died last month,That is so sad! Did he at least die of old age?,3,3,3
194,hit:2951_conv:5902,prepared,I am ready for the winter storms.,I am ready for the winter storms.,Storms? Why?,1,1,1
196,hit:11740_conv:23481,furious,I'm furious_comma_ my cell phone bill this month is 200 dollars more than last months.  For no reason!,That is what I will be doing next thing tomorrow_comma_ they did not even give me a reason!,Phone companies are notorious for this. I hope you are able to resolve.,3,3,3
197,hit:11970_conv:23941,caring,My grandma is 93 and needs a lot of assistance with everyday tasks. I try to look after her as best as I can.,Yeah_comma_ it is hard_comma_ but worth it to make things easier for them.,I am glad it is that way for you. My parents destroyed my life intentionally years ago.,3,3,3
198,hit:306_conv:612,afraid,I was scared when I was on a vacation to Mexico_comma_ after hearing about the crime there.,I am not sure_comma_ I think it was Cozmuzel or something like that,Oh no! Next time_comma_ make sure you go to Mexico City! It is a blast! Besides_comma_ Cozumel is not really that dangerous at all.,3,3,3
199,hit:5750_conv:11501,anxious,The company i work for_comma_ is currently undergoing down-sizing and there are multiple potential candidates that might leave,I have very little savings and I am very concerned if i will be able to find another job in a short amount of time,I am in exactly the same boat. I am still searching for a new job. It is tough. But stay positive - it might not happen!,3,3,3
201,hit:1233_conv:2467,hopeful,I am hopeful that I will succeed in the future with business. Lots of things make me think this.,It is just a business I am working on myself. I am the owner in addition to working for another company. It can be hard to get started in business but I am getting there :),Oh I see. Well thats all very exciting. If you keep working at it Im sure you will continue to be successful. It will pay off.,3,3,3
203,hit:1852_conv:3704,excited,i'm going to see my parents in 3 weeks!!!,no_comma_ with my little baby. they have never met my son_comma_ they cannot wait,oh i bet! you guys will have such a wonderful time together,3,3,3
207,hit:11795_conv:23590,devastated,Last year in the spring_comma_ we got record rainfall and my basement got flooded. Many of my childhood things and photo albums were destroyed.,It really is_comma_ it just sucks losing all of those things. They were like my connection to the past.,Yeah_comma_ I am not quite a hoarder or a packrat when it comes to those things_comma_ but I do get sentimental with some physical objects. If I lost them_comma_ I would feel like it would be an itch I could not scratch_comma_ because I could not replace what I lost. Hopefully you can work past it somehow.,3,3,3
209,hit:10306_conv:20612,guilty,Ex blames me for all things bad.,Absolutely. Yet_comma_ these people have a horrible way of twisting things in order to guilt you_comma_ even if you would done nothing wrong! It is a very manipulating and confusing feeling.,You would hope folks would grow up_comma_ but sometimes people get set in their ways_comma_ and become impossible to change.,3,3,3
210,hit:3960_conv:7921,impressed,I heard a speaker on tv tonight that was really impressive. It made me want to save money,I heard a person tv tonight that was impressive. He made me want to save money,It was not Dave Ramsey was it?,2,2,3
213,hit:7331_conv:14662,sad,My external hard disk has stop working. I had very important on it. It can't be fixed.,I cannot do anything to retrieve the data. I had personal pictures and videos on it. I am sad of losing them.,I am so sorry that happened. What brand is the HD?,3,3,3
217,hit:2996_conv:5992,proud,I can't believe I moved out on my own. I'm doing pretty well too.,No_comma_ but I did not think I would be able to handle the bills by myself. I think I'mg doing pretty good though.,I bet you are so proud of yourself! I need to learn how to be self reliant like you!,3,3,3
220,hit:7819_conv:15638,sentimental,I miss my mom and grandma,that is true! They were both so funny and they loved to prank me and my brother. we had a wonderful childhood,That is really awesome. they sound like amazing people.,3,3,3
221,hit:4128_conv:8257,apprehensive,I saw a psychiatrist. ,I might. It just makes me a little uneasy having to share personal information with a total stranger.,right_comma_ i feel you but maybe it will be good to get it all out!! ,3,3,3
222,hit:6707_conv:13415,devastated,Watching my house burn down after getting my family out. It was such a cold and bitter night.,Cannot believe I just saw all my possessions disappear.,Whoa. What happened?,1,1,1
225,hit:14399_conv:24798,sentimental,I keep a stuffed animal I've had since I was young around. It's still in pretty good condition and reminds me a lot of my childhood.,Yeah_comma_ it is. I always like to keep things that mean a lot to me and this was a gift from my mom so it is even more special.,That really does make it special. I am glad you have that.,3,3,3
231,hit:12381_conv:24763,prepared,I studied hard for my drivers test. I did lots of training.,Feeling so good about my drivers license test.,Awesome! I hope you do well! When do you take it?,3,3,3
232,hit:5968_conv:11936,caring,When my doughter was born I knew she would change my life. Being with her everyday brings me such joy,When my doughter was born I knew she would change my life. ,That is amazing.  Those moments are wonderful and priceless!  How old is she now?,3,3,3
237,hit:11481_conv:22162,content,I accomplished a great deal of work today.,Its especially important to me as well.,Now you can relax and enjoy the rest of your day.,3,3,3
238,hit:4402_conv:8804,disappointed,I felt let down by my girlfriend when she decided to move some money out of our joint account. She never told me about that.,Not really. I dont know what she used it for_comma_ she has not told anything to me so far,I know it sucks_comma_ but i think you should have an open conversation to your girl about this,3,3,3
240,hit:8830_conv:17661,confident,I'm going on date tonight after work. I think its going to go well.,I am normally not but_comma_ I have a good feeling here for some reason.,Good for you. Good luck. Just remember to have a good time and you will be fine. ,3,3,3
241,hit:6702_conv:13404,apprehensive,I'm scared to go to the cottage,I do not like bugs!,I hate bugs too. You should exterminate before you move in,1,1,1
244,hit:1993_conv:3987,prepared,I am going on a road trip so later today I have to buy stuff for sandwiches_comma_ waters_comma_ snacks_comma_ I have even made a list. I think I am really ready for this.,yeah I think so too_comma_ I am not very well off so I will not be able to buy food a lot so that is what I will be eating,ok that is cool,1,1,1
245,hit:5212_conv:10424,nostalgic,Lightning storms always remind me of you.,Lightning storms always remind me of you.,Why is that,1,1,1
247,hit:10804_conv:21609,annoyed,i hate when people tell me what to do,i hate when people tell me what to do,Do you hate when anybody tells you what to do_comma_ or just figures of authority?,3,3,3
254,hit:9112_conv:18224,excited,I'm getting me some of that Costco $10 large pizza this weekend.,Yea. The pizza is pretty large for what you get for $10. You need to try it out sometime.,Believe me_comma_ I have eaten my fair share of it. My stepmom used to take me and my brother there when we were younger. I will always have fond memories of it. But you are right_comma_ I do need to go back and get some more sometime!,3,3,3
256,hit:7979_conv:15958,nostalgic,I love going to craft shows.,I like going to country craft shows. Makes me feel old fashioned.,There is some decent benefits to doing things the old way.,3,3,3
257,hit:10618_conv:21236,joyful,Last Christmas_comma_ both my boys were here for Christmas. It was such a happy time,Yes_comma_ it was. It was one of the happiest days of my life. My one son also got me a kitchenaid for Christmas. ,I love my kitchenaid. It has to be my most used appliance. I can see why you were so happy.,3,3,3
258,hit:4599_conv:9198,afraid,I was trapped in a forest for two days.,Yes it was! I was so afraid I would never make it out.,I am glad you did,2,2,3
260,hit:10512_conv:21025,furious,I bought a car that passed the inspection with flying colors. After only a few weeks of owning it_comma_ the car needed $2000 in repairs. I was livid.,Absolutely. The problems should have been easily located by a mechanic. It was so hard and I was livid. We sold the car because we were so frustrated with it.,I bet. I would not want to get stuck with a money pit either. I hope your state has a lemon law.,3,3,3
261,hit:998_conv:1997,terrified,almost having a car crash,A truck was in the middle of the road on a tight country road,That is one of my worst fears when I drive to my girlfriend's parents' house. So everything ended up being okay_comma_ though?,3,3,3
262,hit:2310_conv:4621,surprised,There were 6 kittens in front of my doorstep this morning.,Yep. Let us see how it goes. If not_comma_ I could always find a good home for them.,That is a lot to take in.,1,1,1
264,hit:1600_conv:3201,anticipating,I am hopeful about moving out of this town.,yes! I would love to rescue farm animals. I already have one in the bathtub! lol! Our duck- He would like a farm too,I agree_comma_ I love farms because it feels so natural.,3,3,3
265,hit:1269_conv:2538,impressed,While at a service station I watched the atttendent leave his inside station to go out and pump gas for a lady. She offered him a tip and he declined it.,I witness a great sight. I saw a gas station attendant leave his post to pump gas for a lady who has a hard time getting around.,That is really sweet. We do not have gas station attendants here. But that is nice that they are that helpful.,3,3,3
266,hit:1015_conv:2031,impressed,I was impressed when my friend was our valedictorian in high school,I was impressed when my friend was our valedictorian in high school,Wow that is awesome.,3,3,3
271,hit:5474_conv:10949,nostalgic,I once had a dream where I was young again and my younger sibling was a baby and my parents were both smiling. It felt so real and pure_comma_ that I woke up crying. It sucks knowing you'll never have that again.,Yea_comma_ I do_comma_ but it was strained for a while. It got real bad between them and it led to me honestly hating them both. It really sucked because I enjoyed my childhood a lot. It is nice that it is better now_comma_ but it is still not what it used to be. I actually woke up crying from that dream_comma_ lol.,Oh no_comma_ I am sorry to hear that. I hope you can repair and issues you have between you guys. There is nothing more important than family.,3,3,3
275,hit:10873_conv:21746,sentimental,Cleaning out the closet I often find things that remind me of when all the girls were little.,It definitely triggers some emotions! Then I am torn between keeping it a little longer or finally purging.,It is alright to feel such sentiments buddy :),3,3,3
276,hit:10804_conv:21608,ashamed,I got really drunk on my birthday and was horrible to one of my oldest friends_comma_ i felt awful ,I did apologise to him the next day_comma_ and I had a lot of making up to do. I do not usually get nasty when I drink alcohol_comma_ but this has made me be more careful,i am glad it made you more aware of what you are doing.,3,3,3
278,hit:6271_conv:12543,proud,I am so happy.  I just won a medal this week. .... gold!,I am so happy!  I won a medal this week.. gold!,Wow. My hearty congratulations to you!,3,3,3
