conv_id,context,prompt,speaker_utterance,listener_utterance,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,empathy
hit:2541_conv:5082,trusting,I have faith my girlfriend can get us safely to the hotel. We are on vacation.,I am on vacation and I know my girlfriend will get us to the hotel safely.,I hope you guys are always safe!,0.5187999999999999,0.031199999999999995,0.192,0.6053333333333334,-0.34,0.3626666666666667,16,7,2
hit:2541_conv:5082,trusting,I have faith my girlfriend can get us safely to the hotel. We are on vacation.,Thank you! She is a really good driver.,I wish I was a good driver!,0.6326666666666667,-0.16066666666666668,0.13133333333333333,0.5080000000000001,-0.007333333333333335,0.212,8,7,2
hit:7514_conv:15029,grateful,i couldnt believe my luck at the casiuno,"I couldnt believe the luck I was having, I was up 100 dollars already",Good for you. Did you win it in a lottery or what?,0.5933333333333334,-0.005333333333333338,0.3953333333333333,0.7573333333333334,0.19533333333333336,0.2753333333333334,14,12,3
hit:7514_conv:15029,grateful,i couldnt believe my luck at the casiuno,"I was gambling at the casino, ands I usually loose it all so I was very happy.",Nice. But i do not think gambling is a wise way of putting your hard earned money,0.24,0.26849999999999996,0.02600000000000001,0.31,-0.0008571428571428619,0.2397142857142857,17,17,3
hit:10786_conv:21572,anticipating,I am looking forward to getting a promotion.,I am looking forward to getting a promotion. I have to hire 3 people.,Oh wow more responsibility! I bet the pay raise will be welcome,0.5312,0.005600000000000005,0.2672,0.3706666666666667,0.08866666666666667,0.2863333333333334,14,12,3
hit:10786_conv:21572,anticipating,I am looking forward to getting a promotion.,"Yes, a couple more levels and it will be easier.",Sweet! Sounds like a good job. How are the bosses?,0.39866666666666667,-0.252,0.10133333333333333,0.3646666666666667,-0.023333333333333327,0.1436666666666667,10,10,3
hit:7449_conv:14898,nostalgic,I have a notebook of all my daughters scribbles and drawings,I have a book with my daughters drawings in them.,What does she like to draw?,0.5824999999999999,-0.385,-0.006499999999999992,0.3153333333333333,-0.24133333333333332,-0.158,10,6,3
hit:7449_conv:14898,nostalgic,I have a notebook of all my daughters scribbles and drawings,She is four so they are mostly scribbles lol,"Still cute though, you must be proud.",-0.018999999999999996,-0.267,-0.259,0.48933333333333334,0.07333333333333335,0.262,9,7,3
hit:7449_conv:14898,nostalgic,I have a notebook of all my daughters scribbles and drawings,I am. She is left handed so I think she will be very artistic,Maybe she will eventually want to study art.,0.31999999999999995,-0.084,0.173,0.41700000000000004,-0.11450000000000002,0.352,14,8,3
hit:6923_conv:13846,disappointed,So I bought a lotto ticket this week.  And yet again_comma_ I lost,"So I bought a lotto ticket this week. And yet again, I lost",lol i know the feeling. how great would it be to hit a jackpot though,0.07650000000000001,-0.041999999999999996,-0.296,0.3934285714285714,0.0537142857142857,0.2831428571428571,13,15,3
hit:6923_conv:13846,disappointed,So I bought a lotto ticket this week.  And yet again_comma_ I lost,I know right.  I really could use the money too!,shoot you aint the only one!,0.39349999999999996,-0.16050000000000003,0.32499999999999996,-0.366,0.218,-0.0050000000000000044,10,6,3
hit:1867_conv:3734,lonely,I do not have any friends.,"Hi, I do not have any friends in my new city.","hi, that's sad. have you tried looking for facebook events? like local events. i bet you can meet people there",0.6388,-0.0516,0.11680000000000001,0.22244444444444447,-0.051333333333333335,-0.03533333333333333,11,20,3
hit:1867_conv:3734,lonely,I do not have any friends.,I have but no one wants to meet me. I sit in my room by myself on weekends.,You can always talk to me. i'm here for you,0.3897142857142857,-0.15114285714285716,-0.007714285714285713,0.495,-0.29400000000000004,0.048,18,10,3
hit:5836_conv:11673,lonely,I ate dinner by myself again.  I hate being by myself all the time.,I ate dinner by myself again.,"Oh no, I'm sorry to hear that",0.646,-0.216,-0.242,0.166,-0.20900000000000002,-0.344,6,7,3
hit:5836_conv:11673,lonely,I ate dinner by myself again.  I hate being by myself all the time.,I hate being by myself all the time.,Same here... it really sucks,-0.365,0.09,0.03899999999999999,-0.312,0.412,-0.246,8,5,3
hit:10706_conv:21412,caring,I love volunteering.,I love volunteering.,Same here! where do you volunteer at?,0.844,0.133,0.27599999999999997,0.558,-0.03,0.132,3,7,2
hit:10706_conv:21412,caring,I love volunteering.,The humane society. I just love animals.,That is so generous of you! have you ever thought of joining a volunteer organization?,0.4975,-0.0685,0.27399999999999997,0.6932,-0.13960000000000003,0.40519999999999995,7,15,2
hit:1109_conv:2219,joyful,My mom is visiting me after not seeing her for 5 years!,"For various reasons, my mother and I haven't been able to visit each other for 5 years. She's in town now and I am so happy.",What do you have planned?,0.40755555555555556,-0.18888888888888888,0.1348888888888889,0.4446666666666667,-0.11866666666666666,0.23866666666666667,26,5,2
hit:1109_conv:2219,joyful,My mom is visiting me after not seeing her for 5 years!,"Spending a lot of time chatting and playing our favorite board games. We don't need to do anything fancy, it's about spending time together.",That sounds fun.,0.25416666666666665,-0.04616666666666667,-0.04250000000000002,0.683,0.466,0.06500000000000002,24,3,2
hit:9816_conv:19633,confident,I am going to do so great this semester now that all of the kids are in school,I am working parent who also goes to school. It can be tough,I can imagine so! I bet you are one tired person when you hit the bed at night!,0.2776666666666667,-0.08199999999999999,0.23633333333333337,0.012444444444444445,-0.10888888888888888,-0.10222222222222221,13,18,3
hit:9816_conv:19633,confident,I am going to do so great this semester now that all of the kids are in school,I am. But this is the first semester that all of the kids will be at school in the day time. I am going to kill it this semester,I hope you do! I really wish you the best.,0.16377777777777783,-0.16266666666666665,0.10466666666666664,0.5786666666666667,-0.03466666666666667,0.28133333333333327,29,10,3
hit:9816_conv:19633,confident,I am going to do so great this semester now that all of the kids are in school,I am working parent who also goes to school. It can be tough,I can imagine so! I bet you are one tired person when you hit the bed at night!,0.2776666666666667,-0.08199999999999999,0.23633333333333337,0.012444444444444445,-0.10888888888888888,-0.10222222222222221,13,18,3
hit:9816_conv:19633,confident,I am going to do so great this semester now that all of the kids are in school,I am. But this is the first semester that all of the kids will be at school in the day time. I am going to kill it this semester,I hope you do! I really wish you the best.,0.16377777777777783,-0.16266666666666665,0.10466666666666664,0.5786666666666667,-0.03466666666666667,0.28133333333333327,29,10,3
hit:881_conv:1763,terrified,last night I saw a ghost in my bedroom.  It scared me to death!,Last night I was getting ready for bed and I saw a ghost in my bedroom.,"Whoa, that's scary! Did you freak out?",0.09899999999999999,-0.15033333333333332,-0.08966666666666667,-0.886,0.791,-0.007999999999999997,16,7,3
hit:881_conv:1763,terrified,last night I saw a ghost in my bedroom.  It scared me to death!,Of course I did!  It scared me to death!,"I can imagine. Did it look like a stereotypical ghost, like Casper?",-0.823,0.548,-0.343,0.28099999999999997,-0.09000000000000001,-0.03633333333333333,9,12,3
hit:3382_conv:6765,sentimental,I was watching some stray dogs the other day_comma_ one of them was full of ticks I felt sorry for her.,"I watched a stray dog yesterday that had a lot of tick, I felt bad for her.",Aw that's so sad! Did you help it?,-0.098,-0.08885714285714286,-0.23942857142857138,-0.10200000000000004,-0.196,-0.39099999999999996,17,8,2
hit:3382_conv:6765,sentimental,I was watching some stray dogs the other day_comma_ one of them was full of ticks I felt sorry for her.,"I didn't, I don't know why, maybe because I hate ticks.","I guess that's fair, but I probably would've taken it to the vet.",-0.12199999999999998,0.03266666666666665,0.030666666666666658,0.322,-0.05333333333333334,0.15266666666666664,11,13,2
hit:3587_conv:7175,proud,I finally got my CCNA certificatoin.,I finally got my CCNA certification.,oh that sounds good ,0.166,-0.134,-0.07,0.7030000000000001,-0.009000000000000008,-0.06799999999999999,6,4,3
hit:3587_conv:7175,proud,I finally got my CCNA certificatoin.,I hope to put it to use soon.,ya you should and you be proud of your achievement ,0.25666666666666665,-0.2846666666666666,0.10533333333333333,0.802,0.508,0.632,8,10,3
hit:3879_conv:7759,confident,I am going to make all As this semester. I just know it,I'm going to Ace every single class this semester.,You sound determined. Go you!,0.0555,-0.262,-0.0955,0.3566666666666667,0.06133333333333333,0.009999999999999995,9,5,3
hit:3879_conv:7759,confident,I am going to make all As this semester. I just know it,I am. I am so ready to graduate. I am going to kiil it!,Are you in college?,0.668,-0.063,0.42600000000000005,0.4,-0.066,0.492,14,4,3
hit:6506_conv:13013,disgusted,I had to use a public restroom,I had to use a public restroom at the airport. Ugh! ,I don't mind that - does it freak you out,0.20600000000000002,-0.08449999999999999,0.010999999999999996,-0.16533333333333333,0.042,-0.04866666666666667,11,10,1
hit:6506_conv:13013,disgusted,I had to use a public restroom,"Yes, I felt so disgusted because it was dirty and smelly.",But you survived.,-0.5265,0.089,-0.3725,0.0,0.0,0.0,11,3,1
hit:1352_conv:2704,annoyed,I was late for work the other day because my husband accidentally took my car keys to work with him. He said he had an important meeting and could not bring them to me until after that. How is that my problem?,I was late for work the other day because of my husband!,"Oh no, I hope it was for a good reason",0.17040000000000002,-0.21880000000000002,-0.05279999999999999,0.7639999999999999,-0.24,0.3233333333333333,12,10,2
hit:1352_conv:2704,annoyed,I was late for work the other day because my husband accidentally took my car keys to work with him. He said he had an important meeting and could not bring them to me until after that. How is that my problem?,"Nope! He accidentally took my car keys with him to work and when I called him to ask, he said he had an important meeting and could not bring them right away.",Oh man! It's hard when those accidents happen.,0.31688888888888894,0.02288888888888889,0.15155555555555555,-0.26399999999999996,0.524,0.001999999999999997,32,8,2
hit:11550_conv:23100,hopeful,I put a bid in for a new house! I don't know yet if I got it but I'm looking forward to hearing about it soon.,Last week I put in a bid to purchase my first home!,That's amazing!  Did you get i?,0.298,-0.19033333333333333,0.155,0.646,0.43100000000000005,0.516,12,6,3
hit:11550_conv:23100,hopeful,I put a bid in for a new house! I don't know yet if I got it but I'm looking forward to hearing about it soon.,"I haven't heard yet. I would really like to get it, but I have to wait to see.","Waiting is the worst!  Well, whatever happens is meant to be.  I wish you luck and success with your house!",0.18933333333333333,-0.27199999999999996,-0.09699999999999999,0.36000000000000004,-0.111,0.255,18,20,3
hit:9876_conv:19752,terrified,I am applying for an internship and I dont think I am goin to get it,I applied for an internship with a law office,Very nice! I bet your more than excited about it!,0.1713333333333333,-0.06533333333333334,0.204,0.482,0.38066666666666665,0.19399999999999998,9,10,3
hit:9876_conv:19752,terrified,I am applying for an internship and I dont think I am goin to get it,I am actually terrified. They probably laughed at my application,Oh no! Dont be anxious or worried! I'm sure you did good on the application. ,-0.264,0.34700000000000003,0.113,0.07319999999999999,0.11280000000000004,0.1528,10,15,3
hit:9876_conv:19752,terrified,I am applying for an internship and I dont think I am goin to get it,I hope so. Although I also wish I could take it back lol,Have more confidence in yourself! Take pride in your work! ,0.482,-0.105,0.035,0.6175,0.021500000000000005,0.4445,13,10,3
hit:189_conv:379,confident,When i got my first job in retail i was scared on the interview. But as i got there i took a deep breath and went in. I felt really confident after that and got the job.,I remember a time i got my first retail job. Was scared about the interview but after just taking a deep breath. I just felt like i owned the place.,"I know that feeling, good for you!",0.17283333333333337,-0.06699999999999999,0.050166666666666665,0.6726666666666666,-0.2946666666666667,0.17933333333333334,30,7,3
hit:189_conv:379,confident,When i got my first job in retail i was scared on the interview. But as i got there i took a deep breath and went in. I felt really confident after that and got the job.,You ever just get those moment where you shake it off and the confident feeling flows in.,"Yes, those are awesome feelings, I crave that all the time",0.35000000000000003,-0.10433333333333333,0.14433333333333337,0.5075000000000001,0.01200000000000001,0.381,17,11,3
hit:7105_conv:14210,jealous,I wish I could be like Michael Jordan.,I wish I could be like Michael Jordan.,"Same here, he must make so much money.",0.49,-0.06399999999999999,0.093,0.29066666666666663,-0.060000000000000005,0.16533333333333333,8,8,2
hit:7105_conv:14210,jealous,I wish I could be like Michael Jordan.,Yes and everyone loves him.,I totally agree.,1.0,0.038,0.346,0.726,-0.318,0.247,5,3,2
hit:2026_conv:4053,grateful,My parents gave me a car for graduating from college. It makes my life so much easier.,My parents gave me a car for graduating from college. It makes my life so much easier.,You deserved for graduating.,0.5559999999999999,-0.040399999999999985,0.364,0.562,0.164,0.378,17,4,3
hit:2026_conv:4053,grateful,My parents gave me a car for graduating from college. It makes my life so much easier.,"Thanks, now all I got to do is get a real career. I couldn't have done it with out them.",Just keep working hard and make them proud.,0.5147999999999999,0.1344,0.1948,0.3384,0.08360000000000001,0.23679999999999998,20,8,3
hit:10984_conv:21969,angry,my neighbor dog barks all day_comma_ I like to go over there and tell him where he can put that dog at_comma_,"my neighbor dog barks all day, I like to go over there and tell him where he can put that dog at,",Your neighbor doesn't do anything about his dogs?,0.2212,-0.1558,-0.13140000000000002,0.35400000000000004,-0.0026666666666666644,-0.082,22,8,3
hit:10984_conv:21969,angry,my neighbor dog barks all day_comma_ I like to go over there and tell him where he can put that dog at_comma_,"that is the problem, he does nothing, except give me his little mustache smile, one of these days i'll wipe that smile off his face","If it were me, I'd call the animal shelter and report possible abuse since the dog does nothing but bark all day - poor thing just needs attention and the owner isn't taking care of it.",0.21080000000000002,-0.2314,-0.10740000000000001,0.10720000000000002,-0.07440000000000001,-0.0448,25,36,3
hit:423_conv:846,furious,Nothing makes me more furious than bullies. Playground or politics_comma_ I find them intolerable.,"I hate bullies. Playground or politics, I find them intolerable.","Me too, bullies are part of the reason that I homeschooled.",-0.21799999999999997,0.3066666666666667,0.10099999999999999,0.13400000000000004,-0.007999999999999998,0.09066666666666666,10,11,2
hit:423_conv:846,furious,Nothing makes me more furious than bullies. Playground or politics_comma_ I find them intolerable.,Good for you! Did you find other ways to interact with kids on better terms?,"Well, I was referring to my own kids. They have adjusted well at 17 and 19.",0.408,-0.13466666666666668,0.06300000000000001,0.517,-0.158,-0.10900000000000001,15,16,2
hit:1599_conv:3198,guilty,I finished my kids birthday candy tonight after they went to bed.  I know there going to be mad in the morning and I feel bad about it.,I finished my kids birthday candy tonight after they went to bed. I know there going to be mad in the morning and I feel bad about it.,That's funny. I'd tell them the tooth fairy stole it. ,0.28036363636363637,-0.051272727272727275,-0.07236363636363637,0.1276,-0.048799999999999996,-0.1252,28,10,2
hit:1599_conv:3198,guilty,I finished my kids birthday candy tonight after they went to bed.  I know there going to be mad in the morning and I feel bad about it.,"Hahahaha.  That's pretty good.  The problem is this candy is very special.  One of their friends sent it over from Europe, so I can't just run down to 7-11 to buy some more.",You better come up with something.,0.42444444444444446,0.07022222222222221,0.049333333333333326,0.058,-0.462,0.116,33,6,2
hit:9324_conv:18649,afraid,Due to recent debt that I have accumulated through credit cards_comma_ my credit score has seen a significant decline. I am very concerned it might impact my credit trustworthiness,Recent debt accumulation had my credit score see a significant decline. I am afraid it would hurt my chances of applying for a new credit card,"That sucks, hopefully you can come back from that",0.03626666666666667,0.02066666666666666,-0.0328,-0.013499999999999998,-0.15600000000000003,-0.1375,26,9,3
hit:9324_conv:18649,afraid,Due to recent debt that I have accumulated through credit cards_comma_ my credit score has seen a significant decline. I am very concerned it might impact my credit trustworthiness,"To be honest, i have invested considerable amount in cryptocurrency market. I am hopeful for them to lift me out of financial burdensome",That is usually pretty unlikely but I'm rooting for you.,0.368,-0.16599999999999998,0.23480000000000004,0.146,-0.191,-0.194,23,10,3
